#contains rel err in first der of exp(x) as a function of h 
#Methods: Forward and central difference 
#h 	 err-forward 	 err-central 
1.000000e-01 	 5.552778e-04 	5.552778e-04 
5.000000e-02 	 1.388715e-04 	1.388715e-04 
2.500000e-02 	 3.472114e-05 	3.472114e-05 
1.250000e-02 	 8.680488e-06 	8.680488e-06 
6.250000e-03 	 2.170135e-06 	2.170135e-06 
3.125000e-03 	 5.425345e-07 	5.425345e-07 
1.562500e-03 	 1.356336e-07 	1.356336e-07 
7.812500e-04 	 3.390884e-08 	3.390884e-08 
3.906250e-04 	 8.477097e-09 	8.477097e-09 
1.953125e-04 	 2.119729e-09 	2.118213e-09 
9.765625e-05 	 5.311449e-10 	5.311449e-10 
4.882813e-05 	 1.309672e-10 	1.309672e-10 
2.441406e-05 	 3.395447e-11 	3.395447e-11 
1.220703e-05 	 9.701277e-12 	9.701277e-12 
6.103516e-06 	 3.880511e-11 	3.880511e-11 
3.051758e-06 	 1.552204e-10 	5.820766e-11 
1.525879e-06 	 1.552204e-10 	1.552204e-10 
7.629395e-07 	 1.552204e-10 	2.328306e-10 
3.814697e-07 	 6.208817e-10 	6.208817e-10 
1.907349e-07 	 2.483527e-09 	9.313226e-10 
9.536743e-08 	 2.483527e-09 	2.483527e-09 
4.768372e-08 	 2.483527e-09 	3.725290e-09 
2.384186e-08 	 9.934107e-09 	9.934107e-09 
1.192093e-08 	 3.973643e-08 	1.490116e-08 
5.960464e-09 	 3.973643e-08 	3.973643e-08 
2.980232e-09 	 3.973643e-08 	5.960464e-08 
1.490116e-09 	 1.589457e-07 	1.589457e-07 
7.450581e-10 	 6.357829e-07 	2.384186e-07 
3.725290e-10 	 6.357829e-07 	6.357829e-07 
1.862645e-10 	 6.357829e-07 	9.536743e-07 
9.313226e-11 	 2.543132e-06 	2.543132e-06 
4.656613e-11 	 1.017253e-05 	3.814697e-06 
2.328306e-11 	 1.017253e-05 	1.017253e-05 
1.164153e-11 	 1.017253e-05 	1.525879e-05 
5.820766e-12 	 4.069010e-05 	4.069010e-05 
2.910383e-12 	 1.627604e-04 	6.103516e-05 
1.455192e-12 	 1.627604e-04 	1.627604e-04 
7.275958e-13 	 1.627604e-04 	2.441406e-04 
3.637979e-13 	 6.510417e-04 	6.510417e-04 
1.818989e-13 	 2.604167e-03 	9.765625e-04 
9.094947e-14 	 2.604167e-03 	2.604167e-03 
4.547474e-14 	 2.604167e-03 	3.906250e-03 
2.273737e-14 	 1.041667e-02 	1.041667e-02 
1.136868e-14 	 4.166667e-02 	1.562500e-02 
5.684342e-15 	 4.166667e-02 	4.166667e-02 
2.842171e-15 	 4.166667e-02 	6.250000e-02 
1.421085e-15 	 1.666667e-01 	1.666667e-01 
7.105427e-16 	 6.666667e-01 	2.500000e-01 
3.552714e-16 	 6.666667e-01 	6.666667e-01 
1.776357e-16 	 1.000000e+00 	1.000000e+00 
8.881784e-17 	 1.000000e+00 	1.000000e+00 
4.440892e-17 	 1.000000e+00 	1.000000e+00 
2.220446e-17 	 1.000000e+00 	1.000000e+00 
1.110223e-17 	 1.000000e+00 	1.000000e+00 
