#contains rel err in first der of exp(x) as a function of h 
#Methods: Forward and central difference 
#h 	 err-forward 	 err-central 
1.000000e-01 	 5.235941e-01 	5.235941e-01 
5.000000e-02 	 5.228003e-01 	5.228003e-01 
2.500000e-02 	 5.226015e-01 	5.226015e-01 
1.250000e-02 	 5.225517e-01 	5.225517e-01 
6.250000e-03 	 5.225393e-01 	5.225393e-01 
3.125000e-03 	 5.225362e-01 	5.225362e-01 
1.562500e-03 	 5.225354e-01 	5.225354e-01 
7.812500e-04 	 5.225352e-01 	5.225352e-01 
3.906250e-04 	 5.225352e-01 	5.225352e-01 
1.953125e-04 	 5.225352e-01 	5.225352e-01 
9.765625e-05 	 5.225352e-01 	5.225352e-01 
4.882813e-05 	 5.225352e-01 	5.225352e-01 
2.441406e-05 	 5.225352e-01 	5.225352e-01 
1.220703e-05 	 5.225352e-01 	5.225352e-01 
6.103516e-06 	 5.225352e-01 	5.225352e-01 
3.051758e-06 	 5.225352e-01 	5.225352e-01 
1.525879e-06 	 5.225352e-01 	5.225352e-01 
7.629395e-07 	 5.225352e-01 	5.225352e-01 
3.814697e-07 	 5.225352e-01 	5.225352e-01 
1.907349e-07 	 5.225352e-01 	5.225352e-01 
9.536743e-08 	 5.225352e-01 	5.225352e-01 
4.768372e-08 	 5.225352e-01 	5.225352e-01 
2.384186e-08 	 5.225352e-01 	5.225352e-01 
1.192093e-08 	 5.225352e-01 	5.225352e-01 
5.960464e-09 	 5.225352e-01 	5.225352e-01 
2.980232e-09 	 5.225352e-01 	5.225352e-01 
1.490116e-09 	 5.225352e-01 	5.225352e-01 
7.450581e-10 	 5.225351e-01 	5.225351e-01 
3.725290e-10 	 5.225352e-01 	5.225351e-01 
1.862645e-10 	 5.225356e-01 	5.225356e-01 
9.313226e-11 	 5.225364e-01 	5.225356e-01 
4.656613e-11 	 5.225333e-01 	5.225333e-01 
2.328306e-11 	 5.225364e-01 	5.225333e-01 
1.164153e-11 	 5.225425e-01 	5.225425e-01 
5.820766e-12 	 5.225546e-01 	5.225425e-01 
2.910383e-12 	 5.225060e-01 	5.225060e-01 
1.455192e-12 	 5.225546e-01 	5.225060e-01 
7.275958e-13 	 5.226517e-01 	5.226517e-01 
3.637979e-13 	 5.228460e-01 	5.226517e-01 
1.818989e-13 	 5.220689e-01 	5.220689e-01 
9.094947e-14 	 5.228460e-01 	5.220689e-01 
4.547474e-14 	 5.244003e-01 	5.244003e-01 
2.273737e-14 	 5.275088e-01 	5.244003e-01 
1.136868e-14 	 5.150748e-01 	5.150748e-01 
5.684342e-15 	 5.275088e-01 	5.150748e-01 
2.842171e-15 	 5.523767e-01 	5.523767e-01 
1.421085e-15 	 6.021126e-01 	5.523767e-01 
7.105427e-16 	 4.031690e-01 	4.031690e-01 
3.552714e-16 	 6.021126e-01 	4.031690e-01 
1.776357e-16 	 1.000000e+00 	1.000000e+00 
8.881784e-17 	 1.000000e+00 	1.000000e+00 
4.440892e-17 	 1.000000e+00 	1.000000e+00 
2.220446e-17 	 1.000000e+00 	1.000000e+00 
1.110223e-17 	 1.000000e+00 	1.000000e+00 
