#contains rel err in first der of exp(x) as a function of h 
#Methods: Forward and central difference 
#h 	 err-forward 	 err-central 
1.000000e-01 	 3.905462e-01 	3.536257e-01 
5.000000e-02 	 3.729777e-01 	3.544712e-01 
2.500000e-02 	 3.639420e-01 	3.546830e-01 
1.250000e-02 	 3.593662e-01 	3.547360e-01 
6.250000e-03 	 3.570644e-01 	3.547492e-01 
3.125000e-03 	 3.559101e-01 	3.547525e-01 
1.562500e-03 	 3.553322e-01 	3.547534e-01 
7.812500e-04 	 3.550430e-01 	3.547536e-01 
3.906250e-04 	 3.548983e-01 	3.547536e-01 
1.953125e-04 	 3.548260e-01 	3.547536e-01 
9.765625e-05 	 3.547898e-01 	3.547536e-01 
4.882813e-05 	 3.547717e-01 	3.547536e-01 
2.441406e-05 	 3.547627e-01 	3.547536e-01 
1.220703e-05 	 3.547582e-01 	3.547536e-01 
6.103516e-06 	 3.547559e-01 	3.547536e-01 
3.051758e-06 	 3.547548e-01 	3.547536e-01 
1.525879e-06 	 3.547542e-01 	3.547536e-01 
7.629395e-07 	 3.547539e-01 	3.547536e-01 
3.814697e-07 	 3.547538e-01 	3.547536e-01 
1.907349e-07 	 3.547537e-01 	3.547536e-01 
9.536743e-08 	 3.547537e-01 	3.547536e-01 
4.768372e-08 	 3.547537e-01 	3.547536e-01 
2.384186e-08 	 3.547537e-01 	3.547536e-01 
1.192093e-08 	 3.547536e-01 	3.547536e-01 
5.960464e-09 	 3.547536e-01 	3.547536e-01 
2.980232e-09 	 3.547536e-01 	3.547536e-01 
1.490116e-09 	 3.547537e-01 	3.547536e-01 
7.450581e-10 	 3.547538e-01 	3.547537e-01 
3.725290e-10 	 3.547538e-01 	3.547536e-01 
1.862645e-10 	 3.547538e-01 	3.547533e-01 
9.313226e-11 	 3.547557e-01 	3.547548e-01 
4.656613e-11 	 3.547538e-01 	3.547538e-01 
2.328306e-11 	 3.547499e-01 	3.547499e-01 
1.164153e-11 	 3.547499e-01 	3.547499e-01 
5.820766e-12 	 3.547810e-01 	3.547655e-01 
2.910383e-12 	 3.548121e-01 	3.547810e-01 
1.455192e-12 	 3.547499e-01 	3.547499e-01 
7.275958e-13 	 3.547499e-01 	3.547499e-01 
3.637979e-13 	 3.549986e-01 	3.547499e-01 
1.818989e-13 	 3.554959e-01 	3.549986e-01 
9.094947e-14 	 3.554959e-01 	3.545013e-01 
4.547474e-14 	 3.554959e-01 	3.535067e-01 
2.273737e-14 	 3.554959e-01 	3.554959e-01 
1.136868e-14 	 3.634527e-01 	3.554959e-01 
5.684342e-15 	 3.634527e-01 	3.475390e-01 
2.842171e-15 	 3.634527e-01 	3.316253e-01 
1.421085e-15 	 3.634527e-01 	3.634527e-01 
7.105427e-16 	 4.907622e-01 	3.634527e-01 
3.552714e-16 	 4.907622e-01 	4.907622e-01 
1.776357e-16 	 1.847567e-02 	1.847567e-02 
8.881784e-17 	 1.000000e+00 	1.847567e-02 
4.440892e-17 	 1.000000e+00 	1.000000e+00 
2.220446e-17 	 1.000000e+00 	1.000000e+00 
1.110223e-17 	 1.000000e+00 	1.000000e+00 
